year,data_mean_global,data_mean_nh,data_mean_sh
2257,343.168999739678,343.169120065335,343.168879414022
2258,343.145999739678,343.146120065334,343.145879414022
2259,343.122999739678,343.123120065334,343.122879414022
2260,343.099999739678,343.100120065334,343.099879414022
2261,343.075999739678,343.076120065334,343.075879414022
2262,343.050999739678,343.051120065335,343.050879414022
2263,343.025999739678,343.026120065335,343.025879414022
2264,343.000999739678,343.001120065335,343.000879414022
2265,342.974999739678,342.975120065334,342.974879414022
2266,342.948999739679,342.949120065335,342.948879414022
2267,342.922999739678,342.923120065334,342.922879414022
2268,342.896999739679,342.897120065335,342.896879414022
2269,342.870999739678,342.871120065335,342.870879414022
2270,342.843999739678,342.844120065334,342.843879414022
2271,342.816999739678,342.817120065334,342.816879414022
2272,342.789999739678,342.790120065334,342.789879414022
2273,342.762999739678,342.763120065334,342.762879414022
2274,342.735999739678,342.736120065335,342.735879414022
2275,342.707999739678,342.708120065334,342.707879414022
2276,342.680999739678,342.681120065334,342.680879414022
2277,342.652999739678,342.653120065335,342.652879414022
2278,342.625999739678,342.626120065335,342.625879414022
2279,342.597999739678,342.598120065335,342.597879414022
2280,342.569999739678,342.570120065335,342.569879414022
2281,342.542999739678,342.543120065335,342.542879414022
2282,342.514999739678,342.515120065334,342.514879414022
2283,342.486999739678,342.487120065335,342.486879414022
2284,342.458999739678,342.459120065335,342.458879414022
2285,342.430999739678,342.431120065335,342.430879414022
2286,342.402999739678,342.403120065334,342.402879414022
2287,342.374999739678,342.375120065335,342.374879414022
2288,342.347999739678,342.348120065335,342.347879414022
2289,342.319999739678,342.320120065334,342.319879414022
2290,342.291999739678,342.292120065335,342.291879414022
2291,342.263999739678,342.264120065335,342.263879414022
2292,342.235999739678,342.236120065334,342.235879414022
2293,342.207999739678,342.208120065334,342.207879414022
2294,342.179999739678,342.180120065335,342.179879414022
2295,342.151999739678,342.152120065334,342.151879414022
2296,342.122999739678,342.123120065335,342.122879414022
2297,342.094999739678,342.095120065335,342.094879414022
2298,342.066999739678,342.067120065335,342.066879414022
2299,342.038999739678,342.039120065334,342.038879414022
2300,342.010999739678,342.011120065334,342.010879414022
2301,341.982999739678,341.983120065334,341.982879414022
2302,341.954999739678,341.955120065335,341.954879414022
2303,341.926999739678,341.927120065335,341.926879414022
2304,341.898999739678,341.899120065334,341.898879414022
2305,341.870999739678,341.871120065335,341.870879414022
