Time (year),co2 (ppm)
2274.5,720.6761474609375
2275.5,720.3909912109375
2276.5,720.096435546875
2277.5,719.816650390625
2278.5,719.5299072265625
2279.5,719.2474975585938
2280.5,718.9678955078125
2281.5,718.6876220703125
2282.5,718.4179077148438
2283.5,718.1387329101562
2284.5,717.8689575195312
2285.5,717.5868530273438
2286.5,717.302490234375
2287.5,717.0286254882812
2288.5,716.7474975585938
2289.5,716.4788818359375
2290.5,716.2244873046875
2291.5,715.9545288085938
2292.5,715.6826782226562
2293.5,715.4013061523438
2294.5,715.1364135742188
2295.5,714.8635864257812
2296.5,714.6019897460938
2297.5,714.3327026367188
2298.5,714.069580078125
2299.5,713.8047485351562
2300.5,713.537353515625
2301.5,713.2884521484375
2302.5,713.024658203125
2303.5,712.7601928710938
2304.5,712.4947509765625
2305.5,712.2341918945312
2306.5,711.961181640625
2307.5,711.7035522460938
2308.5,711.444580078125
2309.5,711.1842041015625
2310.5,710.9262084960938
2311.5,710.6558837890625
2312.5,710.4017944335938
2313.5,710.1371459960938
2314.5,709.8931274414062
2315.5,709.6266479492188
2316.5,709.3599853515625
2317.5,709.0905151367188
2318.5,708.8307495117188
2319.5,708.5738525390625
2320.5,708.3192138671875
2321.5,708.0587158203125
2322.5,707.8069458007812
2323.5,707.540771484375
2324.5,707.2835693359375
2325.5,707.0256958007812
2326.5,706.7898559570312
2327.5,706.5257568359375
2328.5,706.267822265625
2329.5,706.0177001953125
2330.5,705.757568359375
2331.5,705.5114135742188
2332.5,705.2573852539062
2333.5,705.0028076171875
2334.5,704.7418823242188
2335.5,704.4874267578125
2336.5,704.2422485351562
2337.5,703.9926147460938
2338.5,703.7528076171875
2339.5,703.4993286132812
2340.5,703.2491455078125
2341.5,702.9995727539062
2342.5,702.75634765625
2343.5,702.5136108398438
2344.5,702.2695922851562
2345.5,702.02294921875
2346.5,701.7752685546875
2347.5,701.5299072265625
2348.5,701.2925415039062
2349.5,701.058837890625
2350.5,700.8275756835938
2351.5,700.5930786132812
2352.5,700.3550415039062
2353.5,700.108154296875
2354.5,699.8638916015625
2355.5,699.6319580078125
2356.5,699.4046630859375
2357.5,699.1741333007812
2358.5,698.9307861328125
2359.5,698.6936645507812
2360.5,698.4659423828125
2361.5,698.2366333007812
2362.5,698.0103149414062
2363.5,697.7710571289062
2364.5,697.5382690429688
2365.5,697.3082885742188
2366.5,697.0731201171875
2367.5,696.8506469726562
2368.5,696.61279296875
2369.5,696.3855590820312
2370.5,696.1558227539062
2371.5,695.9210205078125
2372.5,695.6968994140625
2373.5,695.46923828125
2374.5,695.2499389648438
2375.5,695.0213012695312
2376.5,694.7904052734375
2377.5,694.5604858398438
2378.5,694.3323364257812
2379.5,694.1187133789062
2380.5,693.9015502929688
2381.5,693.6926879882812
2382.5,693.46484375
2383.5,693.2420654296875
2384.5,693.0061645507812
2385.5,692.7738647460938
2386.5,692.5420532226562
2387.5,692.3264770507812
2388.5,692.1063842773438
2389.5,691.8864135742188
2390.5,691.6831665039062
2391.5,691.4659423828125
2392.5,691.253173828125
