Time (year),cLand (PgC)
2470.5,3185.611083984375
2471.5,3185.58837890625
2472.5,3185.571533203125
2473.5,3185.52294921875
2474.5,3185.478515625
2475.5,3185.43408203125
2476.5,3185.411376953125
2477.5,3185.358154296875
2478.5,3185.303955078125
2479.5,3185.22314453125
2480.5,3185.163818359375
2481.5,3185.081298828125
2482.5,3185.047119140625
2483.5,3185.000244140625
2484.5,3184.9384765625
2485.5,3184.9033203125
2486.5,3184.81640625
2487.5,3184.759521484375
2488.5,3184.68701171875
2489.5,3184.623779296875
2490.5,3184.53173828125
2491.5,3184.462890625
2492.5,3184.354248046875
2493.5,3184.24169921875
2494.5,3184.18798828125
2495.5,3184.1513671875
2496.5,3184.139892578125
2497.5,3184.1298828125
2498.5,3184.142822265625
2499.5,3184.152099609375
2500.5,3184.197021484375
2501.5,3184.22412109375
2502.5,3184.24658203125
2503.5,3184.281982421875
2504.5,3184.290771484375
2505.5,3184.330810546875
2506.5,3184.330322265625
2507.5,3184.315185546875
2508.5,3184.297607421875
2509.5,3184.286865234375
2510.5,3184.29248046875
2511.5,3184.30615234375
2512.5,3184.3408203125
2513.5,3184.349365234375
2514.5,3184.355224609375
2515.5,3184.3955078125
2516.5,3184.440185546875
2517.5,3184.46044921875
2518.5,3184.519287109375
2519.5,3184.57373046875
2520.5,3184.618408203125
2521.5,3184.60205078125
2522.5,3184.57373046875
2523.5,3184.53076171875
2524.5,3184.526123046875
2525.5,3184.51806640625
2526.5,3184.51025390625
2527.5,3184.482177734375
2528.5,3184.47802734375
2529.5,3184.450439453125
2530.5,3184.439697265625
2531.5,3184.440185546875
2532.5,3184.458984375
2533.5,3184.456298828125
2534.5,3184.451904296875
2535.5,3184.4658203125
2536.5,3184.49951171875
2537.5,3184.488525390625
2538.5,3184.505859375
2539.5,3184.485107421875
2540.5,3184.461669921875
2541.5,3184.452392578125
2542.5,3184.4287109375
2543.5,3184.40283203125
2544.5,3184.35546875
2545.5,3184.349609375
2546.5,3184.32373046875
2547.5,3184.342529296875
2548.5,3184.378173828125
2549.5,3184.399169921875
2550.5,3184.403076171875
2551.5,3184.4384765625
2552.5,3184.447265625
2553.5,3184.4765625
2554.5,3184.484130859375
2555.5,3184.4931640625
2556.5,3184.500732421875
2557.5,3184.48828125
2558.5,3184.46826171875
2559.5,3184.449951171875
2560.5,3184.464599609375
2561.5,3184.448486328125
2562.5,3184.446044921875
2563.5,3184.437744140625
2564.5,3184.437255859375
2565.5,3184.41650390625
2566.5,3184.447265625
2567.5,3184.470458984375
2568.5,3184.486572265625
2569.5,3184.47314453125
2570.5,3184.48388671875
2571.5,3184.49658203125
2572.5,3184.50048828125
2573.5,3184.4951171875
2574.5,3184.489013671875
2575.5,3184.46923828125
2576.5,3184.44384765625
2577.5,3184.404296875
2578.5,3184.388671875
2579.5,3184.3583984375
2580.5,3184.350341796875
2581.5,3184.3154296875
2582.5,3184.312255859375
2583.5,3184.3017578125
2584.5,3184.303955078125
2585.5,3184.293701171875
2586.5,3184.328369140625
2587.5,3184.347412109375
2588.5,3184.367431640625
2589.5,3184.400390625
2590.5,3184.411376953125
2591.5,3184.41015625
2592.5,3184.415771484375
2593.5,3184.396484375
2594.5,3184.360595703125
2595.5,3184.349365234375
2596.5,3184.3408203125
2597.5,3184.309814453125
2598.5,3184.30419921875
2599.5,3184.2783203125
2600.5,3184.28564453125
2601.5,3184.302978515625
2602.5,3184.319091796875
2603.5,3184.337890625
2604.5,3184.3681640625
2605.5,3184.38330078125
2606.5,3184.38916015625
2607.5,3184.4169921875
2608.5,3184.457275390625
2609.5,3184.468994140625
2610.5,3184.483154296875
2611.5,3184.458251953125
2612.5,3184.44189453125
2613.5,3184.4208984375
2614.5,3184.420166015625
2615.5,3184.416015625
2616.5,3184.439453125
2617.5,3184.44775390625
2618.5,3184.450927734375
2619.5,3184.468505859375
2620.5,3184.521484375
2621.5,3184.5390625
2622.5,3184.558349609375
2623.5,3184.594970703125
2624.5,3184.616455078125
2625.5,3184.66357421875
2626.5,3184.689697265625
2627.5,3184.701904296875
2628.5,3184.680908203125
2629.5,3184.668701171875
2630.5,3184.6318359375
2631.5,3184.650634765625
2632.5,3184.656494140625
2633.5,3184.672119140625
2634.5,3184.675537109375
2635.5,3184.701171875
2636.5,3184.70166015625
2637.5,3184.7275390625
2638.5,3184.747802734375
2639.5,3184.804931640625
2640.5,3184.82763671875
2641.5,3184.831298828125
2642.5,3184.841796875
2643.5,3184.84814453125
2644.5,3184.846923828125
2645.5,3184.837158203125
2646.5,3184.836669921875
2647.5,3184.812255859375
2648.5,3184.81103515625
2649.5,3184.783447265625
2650.5,3184.79833984375
2651.5,3184.811279296875
2652.5,3184.837890625
2653.5,3184.8544921875
2654.5,3184.855224609375
2655.5,3184.864990234375
2656.5,3184.889892578125
2657.5,3184.89892578125
2658.5,3184.915771484375
2659.5,3184.909423828125
2660.5,3184.8857421875
2661.5,3184.88232421875
2662.5,3184.882568359375
2663.5,3184.87451171875
2664.5,3184.884521484375
2665.5,3184.895751953125
2666.5,3184.86669921875
2667.5,3184.856689453125
2668.5,3184.834716796875
2669.5,3184.838623046875
2670.5,3184.81103515625
2671.5,3184.794189453125
2672.5,3184.79541015625
2673.5,3184.77001953125
2674.5,3184.76025390625
2675.5,3184.732177734375
2676.5,3184.7099609375
2677.5,3184.661376953125
2678.5,3184.6357421875
2679.5,3184.6025390625
2680.5,3184.59912109375
2681.5,3184.564453125
2682.5,3184.5654296875
2683.5,3184.533935546875
2684.5,3184.522705078125
2685.5,3184.50732421875
2686.5,3184.51318359375
2687.5,3184.517822265625
2688.5,3184.541748046875
2689.5,3184.522705078125
2690.5,3184.517333984375
2691.5,3184.50537109375
2692.5,3184.505859375
2693.5,3184.48583984375
2694.5,3184.505126953125
2695.5,3184.5234375
2696.5,3184.526611328125
2697.5,3184.500732421875
2698.5,3184.47021484375
2699.5,3184.474853515625
2700.5,3184.47021484375
2701.5,3184.4921875
2702.5,3184.518798828125
2703.5,3184.52783203125
2704.5,3184.560791015625
2705.5,3184.57177734375
2706.5,3184.605224609375
2707.5,3184.61328125
2708.5,3184.65576171875
2709.5,3184.682373046875
2710.5,3184.732177734375
2711.5,3184.7646484375
2712.5,3184.78759765625
2713.5,3184.81787109375
2714.5,3184.806640625
2715.5,3184.84375
2716.5,3184.849609375
2717.5,3184.86328125
2718.5,3184.8388671875
2719.5,3184.8359375
2720.5,3184.812255859375
2721.5,3184.83251953125
2722.5,3184.860595703125
2723.5,3184.881103515625
2724.5,3184.860595703125
2725.5,3184.8701171875
2726.5,3184.86083984375
2727.5,3184.864013671875
2728.5,3184.86962890625
2729.5,3184.871826171875
2730.5,3184.84619140625
2731.5,3184.846923828125
2732.5,3184.8173828125
2733.5,3184.821044921875
2734.5,3184.81640625
2735.5,3184.803955078125
2736.5,3184.81787109375
