Time (year),tos (K)
2481.5,292.48779296875
2482.5,292.4878845214844
2483.5,292.48773193359375
2484.5,292.4883728027344
2485.5,292.4895324707031
2486.5,292.4908447265625
2487.5,292.4917297363281
2488.5,292.49151611328125
2489.5,292.4926452636719
2490.5,292.4945983886719
2491.5,292.4947814941406
2492.5,292.4947509765625
2493.5,292.4944152832031
2494.5,292.494384765625
2495.5,292.4929504394531
2496.5,292.4906005859375
2497.5,292.4898376464844
2498.5,292.48931884765625
2499.5,292.48736572265625
2500.5,292.48614501953125
2501.5,292.4855651855469
2502.5,292.4856872558594
2503.5,292.48492431640625
2504.5,292.4848327636719
2505.5,292.4864196777344
2506.5,292.4879455566406
2507.5,292.48809814453125
2508.5,292.4872131347656
2509.5,292.4872131347656
2510.5,292.4862976074219
2511.5,292.48431396484375
2512.5,292.48345947265625
2513.5,292.48388671875
2514.5,292.4839782714844
2515.5,292.48199462890625
2516.5,292.48004150390625
2517.5,292.48065185546875
2518.5,292.481689453125
2519.5,292.48162841796875
2520.5,292.4814758300781
2521.5,292.48382568359375
2522.5,292.48626708984375
2523.5,292.48565673828125
2524.5,292.4841613769531
2525.5,292.48504638671875
2526.5,292.48590087890625
2527.5,292.4852600097656
2528.5,292.48431396484375
2529.5,292.4856262207031
2530.5,292.4866943359375
2531.5,292.4855041503906
2532.5,292.48406982421875
2533.5,292.4838562011719
2534.5,292.484130859375
2535.5,292.4842834472656
2536.5,292.48370361328125
2537.5,292.48486328125
2538.5,292.48687744140625
2539.5,292.48681640625
2540.5,292.48486328125
2541.5,292.48516845703125
2542.5,292.48681640625
2543.5,292.4873352050781
2544.5,292.486083984375
2545.5,292.48626708984375
2546.5,292.4867858886719
2547.5,292.4866027832031
2548.5,292.4854431152344
2549.5,292.4858703613281
2550.5,292.4864196777344
2551.5,292.4860534667969
2552.5,292.4847412109375
2553.5,292.4856262207031
2554.5,292.4866638183594
2555.5,292.4871826171875
2556.5,292.4858093261719
2557.5,292.4859313964844
2558.5,292.48748779296875
2559.5,292.4877014160156
2560.5,292.48681640625
2561.5,292.48712158203125
2562.5,292.4880676269531
2563.5,292.4886779785156
2564.5,292.4877014160156
2565.5,292.48779296875
2566.5,292.48858642578125
2567.5,292.4877624511719
2568.5,292.487060546875
2569.5,292.48828125
2570.5,292.4892578125
2571.5,292.48846435546875
2572.5,292.48779296875
2573.5,292.4888916015625
2574.5,292.4903564453125
2575.5,292.4914855957031
2576.5,292.49200439453125
2577.5,292.49334716796875
2578.5,292.494140625
2579.5,292.49359130859375
2580.5,292.4927673339844
2581.5,292.4932861328125
2582.5,292.4933776855469
2583.5,292.4927673339844
2584.5,292.4905090332031
2585.5,292.4898376464844
2586.5,292.4898681640625
2587.5,292.4888610839844
2588.5,292.4883728027344
2589.5,292.48974609375
2590.5,292.491455078125
2591.5,292.4926452636719
2592.5,292.49359130859375
2593.5,292.4949645996094
2594.5,292.49560546875
2595.5,292.4956970214844
2596.5,292.4954528808594
2597.5,292.4956970214844
2598.5,292.4964599609375
2599.5,292.4963684082031
2600.5,292.4960021972656
2601.5,292.49542236328125
2602.5,292.4953308105469
2603.5,292.4947204589844
2604.5,292.4933776855469
2605.5,292.49310302734375
2606.5,292.4934387207031
2607.5,292.49322509765625
2608.5,292.4936828613281
2609.5,292.49554443359375
2610.5,292.4976806640625
2611.5,292.4980773925781
2612.5,292.49853515625
2613.5,292.4994812011719
2614.5,292.5002136230469
2615.5,292.4986572265625
2616.5,292.49591064453125
2617.5,292.49566650390625
2618.5,292.49639892578125
2619.5,292.49658203125
2620.5,292.4959716796875
2621.5,292.495849609375
2622.5,292.4966125488281
2623.5,292.4969482421875
2624.5,292.49603271484375
2625.5,292.4969787597656
2626.5,292.4984130859375
2627.5,292.4986572265625
2628.5,292.49755859375
2629.5,292.4980163574219
2630.5,292.49786376953125
2631.5,292.4969177246094
2632.5,292.4958190917969
2633.5,292.49664306640625
2634.5,292.498291015625
2635.5,292.4990539550781
2636.5,292.4977111816406
2637.5,292.4969787597656
2638.5,292.49700927734375
2639.5,292.49603271484375
2640.5,292.49530029296875
2641.5,292.4960632324219
2642.5,292.49749755859375
2643.5,292.49798583984375
2644.5,292.49810791015625
2645.5,292.4991760253906
2646.5,292.50048828125
2647.5,292.5009460449219
2648.5,292.50030517578125
2649.5,292.4996032714844
2650.5,292.4994812011719
2651.5,292.4992980957031
2652.5,292.4988708496094
2653.5,292.4996337890625
2654.5,292.50054931640625
2655.5,292.5004577636719
2656.5,292.49993896484375
2657.5,292.50177001953125
2658.5,292.5037841796875
2659.5,292.5044250488281
2660.5,292.5036926269531
2661.5,292.5036315917969
2662.5,292.503662109375
2663.5,292.5030517578125
2664.5,292.50213623046875
2665.5,292.50250244140625
2666.5,292.50341796875
2667.5,292.5033874511719
2668.5,292.5031433105469
2669.5,292.50439453125
2670.5,292.50640869140625
2671.5,292.5063171386719
2672.5,292.50604248046875
2673.5,292.5071105957031
2674.5,292.5089111328125
2675.5,292.50958251953125
2676.5,292.50946044921875
2677.5,292.5111083984375
2678.5,292.51226806640625
2679.5,292.5123291015625
2680.5,292.5110168457031
2681.5,292.51092529296875
2682.5,292.5121765136719
2683.5,292.512939453125
2684.5,292.5124816894531
2685.5,292.51214599609375
2686.5,292.51239013671875
2687.5,292.5120849609375
2688.5,292.51080322265625
2689.5,292.5108642578125
2690.5,292.51165771484375
2691.5,292.5118103027344
2692.5,292.51068115234375
2693.5,292.5106506347656
2694.5,292.5113830566406
2695.5,292.5126647949219
2696.5,292.5133361816406
2697.5,292.5149841308594
2698.5,292.5152282714844
2699.5,292.5132141113281
2700.5,292.5108642578125
2701.5,292.5102844238281
2702.5,292.5106201171875
2703.5,292.5101623535156
2704.5,292.509765625
2705.5,292.51019287109375
2706.5,292.5106201171875
2707.5,292.50933837890625
2708.5,292.5083312988281
2709.5,292.5087585449219
2710.5,292.510009765625
2711.5,292.51055908203125
2712.5,292.5097351074219
2713.5,292.5093688964844
2714.5,292.5096740722656
2715.5,292.5098571777344
2716.5,292.5102233886719
2717.5,292.5129089355469
2718.5,292.51416015625
2719.5,292.51397705078125
2720.5,292.51300048828125
2721.5,292.51397705078125
2722.5,292.51568603515625
2723.5,292.51611328125
2724.5,292.5135498046875
2725.5,292.511962890625
2726.5,292.5120544433594
2727.5,292.5127258300781
2728.5,292.51287841796875
2729.5,292.51397705078125
2730.5,292.51409912109375
2731.5,292.51434326171875
2732.5,292.5125732421875
2733.5,292.5126037597656
2734.5,292.5129699707031
2735.5,292.51373291015625
2736.5,292.513916015625
2737.5,292.514404296875
2738.5,292.5149230957031
2739.5,292.5152587890625
2740.5,292.5155029296875
2741.5,292.5168151855469
2742.5,292.5172119140625
2743.5,292.5164794921875
2744.5,292.5159606933594
2745.5,292.5169372558594
2746.5,292.5180969238281
2747.5,292.518310546875
2748.5,292.5186767578125
2749.5,292.5200500488281
2750.5,292.5218505859375
2751.5,292.5224609375
2752.5,292.5223388671875
2753.5,292.5230712890625
2754.5,292.5238342285156
2755.5,292.5237731933594
2756.5,292.5235290527344
2757.5,292.5237121582031
2758.5,292.52227783203125
2759.5,292.5207214355469
2760.5,292.5203552246094
2761.5,292.5213317871094
2762.5,292.52276611328125
2763.5,292.5237731933594
2764.5,292.52374267578125
2765.5,292.52484130859375
2766.5,292.5264892578125
2767.5,292.52752685546875
2768.5,292.529296875
2769.5,292.5323181152344
2770.5,292.5339660644531
2771.5,292.53399658203125
2772.5,292.53289794921875
2773.5,292.53375244140625
2774.5,292.534423828125
2775.5,292.53460693359375
2776.5,292.5344543457031
2777.5,292.5344543457031
2778.5,292.5341796875
2779.5,292.5333251953125
2780.5,292.5315246582031
2781.5,292.5306091308594
2782.5,292.5296325683594
2783.5,292.52838134765625
2784.5,292.52801513671875
2785.5,292.52935791015625
2786.5,292.53076171875
2787.5,292.5314636230469
2788.5,292.5321350097656
2789.5,292.5350341796875
2790.5,292.537353515625
2791.5,292.53717041015625
2792.5,292.535888671875
2793.5,292.5355529785156
2794.5,292.5350341796875
2795.5,292.53338623046875
2796.5,292.53057861328125
2797.5,292.52972412109375
2798.5,292.53033447265625
2799.5,292.5315246582031
2800.5,292.5315856933594
2801.5,292.5325012207031
2802.5,292.5331115722656
2803.5,292.5323486328125
2804.5,292.5324401855469
2805.5,292.5341796875
2806.5,292.53607177734375
2807.5,292.53564453125
2808.5,292.5343322753906
2809.5,292.5337829589844
2810.5,292.5331115722656
2811.5,292.5324401855469
2812.5,292.53155517578125
2813.5,292.531982421875
2814.5,292.53277587890625
2815.5,292.5323791503906
2816.5,292.5318603515625
2817.5,292.532958984375
2818.5,292.5337219238281
2819.5,292.5331726074219
2820.5,292.53277587890625
2821.5,292.5340881347656
2822.5,292.534912109375
2823.5,292.5342102050781
2824.5,292.53387451171875
2825.5,292.5350036621094
2826.5,292.53668212890625
2827.5,292.53765869140625
2828.5,292.5380554199219
2829.5,292.53887939453125
2830.5,292.5395812988281
2831.5,292.5386047363281
2832.5,292.5376892089844
2833.5,292.5373229980469
2834.5,292.5368347167969
2835.5,292.5350341796875
2836.5,292.53277587890625
2837.5,292.5330810546875
2838.5,292.533935546875
2839.5,292.5354309082031
2840.5,292.5373840332031
2841.5,292.5405578613281
2842.5,292.5426330566406
2843.5,292.54412841796875
2844.5,292.5439453125
2845.5,292.54437255859375
2846.5,292.54412841796875
2847.5,292.54388427734375
2848.5,292.54217529296875
2849.5,292.5419921875
