Time (year),tas (K)
2124.5,288.49346923828125
2125.5,288.4950866699219
2126.5,288.496337890625
2127.5,288.49700927734375
2128.5,288.4975280761719
2129.5,288.49749755859375
2130.5,288.4988708496094
2131.5,288.5006103515625
2132.5,288.5017395019531
2133.5,288.50067138671875
2134.5,288.5006408691406
2135.5,288.5033874511719
2136.5,288.5039978027344
2137.5,288.5054626464844
2138.5,288.5066833496094
2139.5,288.5063781738281
2140.5,288.510498046875
2141.5,288.5132751464844
2142.5,288.51580810546875
2143.5,288.5178527832031
2144.5,288.5177001953125
2145.5,288.518310546875
2146.5,288.5184631347656
2147.5,288.5184326171875
2148.5,288.5185852050781
2149.5,288.5197448730469
2150.5,288.52197265625
2151.5,288.52496337890625
2152.5,288.526123046875
2153.5,288.52734375
2154.5,288.5266418457031
2155.5,288.5267028808594
2156.5,288.527587890625
2157.5,288.52691650390625
2158.5,288.5283203125
2159.5,288.5294189453125
2160.5,288.5321350097656
2161.5,288.53460693359375
2162.5,288.53521728515625
2163.5,288.53594970703125
2164.5,288.5367126464844
2165.5,288.53582763671875
2166.5,288.5361022949219
2167.5,288.5362548828125
2168.5,288.5381164550781
2169.5,288.5401306152344
2170.5,288.542724609375
2171.5,288.543701171875
2172.5,288.54473876953125
2173.5,288.54498291015625
2174.5,288.5443420410156
2175.5,288.54595947265625
2176.5,288.5469970703125
2177.5,288.5489807128906
2178.5,288.55059814453125
2179.5,288.551025390625
2180.5,288.55352783203125
2181.5,288.5542907714844
2182.5,288.55511474609375
2183.5,288.55511474609375
2184.5,288.5540466308594
2185.5,288.55401611328125
2186.5,288.55322265625
2187.5,288.5549621582031
2188.5,288.5577087402344
2189.5,288.5577697753906
2190.5,288.5595703125
2191.5,288.5590515136719
2192.5,288.5595703125
2193.5,288.5618591308594
2194.5,288.56243896484375
2195.5,288.56427001953125
2196.5,288.56524658203125
2197.5,288.5660095214844
2198.5,288.5679931640625
2199.5,288.5699768066406
2200.5,288.57110595703125
2201.5,288.57122802734375
2202.5,288.57037353515625
2203.5,288.5692443847656
2204.5,288.56793212890625
2205.5,288.5675048828125
2206.5,288.5679016113281
2207.5,288.5687561035156
2208.5,288.5700378417969
2209.5,288.56982421875
2210.5,288.5705261230469
2211.5,288.5704040527344
2212.5,288.57073974609375
